Date,20211107_160307_0895
Motor Name,floor
Record ID, Time(ms), X-Accel, Y-Accel, Z-Accel
1,250,0.1294681,0.12446143,0.1928987
2,500,0.11443704,0.137427,0.1709439
3,750,0.1369149,0.11418253,0.11301369
4,1000,0.1486128,0.1418292,0.1289637
5,1250,0.1338412,0.11487324,0.1462103
6,1500,0.10852005,0.1264618,0.1305025
7,1750,0.1415077,0.11640604,0.1439597
8,2000,0.1203714,0.1457029,0.12040953
9,2250,0.12235396,0.1260814,0.1343256
10,2500,0.1437805,0.11705788,0.1692444
11,2750,0.1353375,0.1338548,0.141039
12,3000,0.12302852,0.1502039,0.12430734
13,3250,0.144768,0.1277797,0.09733648
14,3500,0.1297113,0.10915894,0.1373922
15,3750,0.1600985,0.1444839,0.1673275
16,4000,0.1307315,0.12451349,0.11379433
17,4250,0.11779945,0.12048707,0.1340281
18,4500,0.10482355,0.1459336,0.11275652
19,4750,0.1595867,0.1551499,0.1480076
20,5000,0.1476585,0.10275847,0.1568146
21,5250,0.11977416,0.1333124,0.1896362
22,5500,0.1598742,0.1378941,0.12084377
23,5750,0.1258245,0.136782,0.200036
24,6000,0.1304923,0.1299315,0.10765714
25,6250,0.11295072,0.11510206,0.1719366
26,6500,0.1280907,0.1300156,0.1441779
27,6750,0.1280243,0.1121707,0.12286051
28,7000,0.11735328,0.1597565,0.1256879
29,7250,0.1345947,0.10811609,0.10038659
30,7500,0.1310397,0.11685403,0.1444327
31,7750,0.1332525,0.1386804,0.1518143
32,8000,0.140803,0.1440775,0.1512626
33,8250,0.1670126,0.137835,0.12465345
34,8500,0.1322026,0.101319,0.1410009
35,8750,0.12188887,0.1114615,0.1454998
36,9000,0.11418504,0.1558574,0.1477543
37,9250,0.1392782,0.1527933,0.1535946
38,9500,0.13119,0.1586906,0.1456471
39,9750,0.11604229,0.1778879,0.1311897
40,10000,0.1495712,0.1516461,0.1325529
41,10250,0.1377406,0.10939977,0.1601311
42,10500,0.1416367,0.1761662,0.11460692
43,10750,0.11877303,0.09823375,0.1283054
44,11000,0.1410497,0.1364632,0.1208076
45,11250,0.1338699,0.140648,0.11672235
46,11500,0.10614965,0.1487594,0.185719
47,11750,0.1746398,0.1766207,0.08859131
48,12000,0.12243627,0.140926,0.1601944
49,12250,0.12192404,0.1419834,0.11781495
50,12500,0.11675718,0.1530577,0.1494603
51,12750,0.11262131,0.1546833,0.1427559
52,13000,0.11919039,0.1317192,0.11214787
53,13250,0.1397864,0.1706869,0.1328991
54,13500,0.1018731,0.11111937,0.10771649
55,13750,0.11135759,0.12062538,0.1529663
56,14000,0.10521936,0.131705,0.177988
57,14250,0.11700699,0.12383555,0.10801872
58,14500,0.1438327,0.1410597,0.1510779
59,14750,0.10509649,0.1420094,0.143449
60,15000,0.11097796,0.10707422,0.1397469
61,15250,0.1546974,0.185748,0.10098461
62,15500,0.2027292,0.1592877,0.11179068
63,15750,0.1788301,0.1624477,0.1466537
64,16000,0.11313716,0.1438398,0.11295076
65,16250,0.12198374,0.1369295,0.1332303
66,16500,0.1393708,0.1202084,0.11889447
67,16750,0.1510804,0.1506614,0.142443
68,17000,0.12143932,0.1464215,0.1380013
69,17250,0.1300882,0.1342766,0.10020414
70,17500,0.1489578,0.1364843,0.1707587
71,17750,0.1442802,0.1303844,0.1645292
72,18000,0.1593996,0.1339586,0.125506
73,18250,0.12263023,0.1328085,0.11918322
74,18500,0.10338992,0.1544548,0.1260603
75,18750,0.10948032,0.160643,0.1439129
76,19000,0.125238,0.1261634,0.1314449
77,19250,0.12499569,0.1668839,0.12445138
78,19500,0.1353512,0.1656191,0.12288367
79,19750,0.137666,0.12015299,0.1622626
80,20000,0.2073161,0.1305789,0.1811302
81,20250,0.1481953,0.10407991,0.1161332
82,20500,0.1411217,0.1261259,0.1225254
83,20750,0.163141,0.1497461,0.12281108
