Date,20211107_160528_0896
Motor Name,table
Record ID, Time(ms), X-Accel, Y-Accel, Z-Accel
1,250,0.1506301,0.1390688,0.1539169
2,500,0.166816,0.1389707,0.1540945
3,750,0.12396239,0.1280152,0.1638077
4,1000,0.1389221,0.1581365,0.1650123
5,1250,0.1608796,0.1495157,0.2116348
6,1500,0.1945741,0.2287214,0.1485686
7,1750,0.1781409,0.1841193,0.1604115
8,2000,0.1278267,0.1362839,0.12447656
9,2250,0.1425283,0.1313795,0.11976788
10,2500,0.12482338,0.1723683,0.1371052
11,2750,0.1562364,0.1699977,0.11353401
12,3000,0.1467134,0.1636762,0.1298344
13,3250,0.1253283,0.1524791,0.1262845
14,3500,0.12267929,0.1433882,0.1450926
15,3750,0.11837139,0.1606574,0.1360026
16,4000,0.1374521,0.1458359,0.1324987
17,4250,0.1450426,0.1613567,0.1662073
18,4500,0.1509981,0.1376264,0.158109
19,4750,0.1579842,0.1309927,0.1651555
20,5000,0.152677,0.11929009,0.1536675
21,5250,0.1333676,0.1684386,0.1475277
22,5500,0.1602209,0.1474278,0.1411361
23,5750,0.11104361,0.1709552,0.1616651
24,6000,0.1306484,0.1519134,0.11392367
25,6250,0.1660208,0.1681983,0.1623704
26,6500,0.1342131,0.1358152,0.1461905
27,6750,0.1692731,0.1431813,0.157844
28,7000,0.1515643,0.1312126,0.1738457
29,7250,0.1497086,0.1490003,0.1343694
30,7500,0.1283903,0.1334697,0.157405
31,7750,0.1440857,0.11479238,0.1497575
32,8000,0.11766562,0.12102183,0.1631873
33,8250,0.1497715,0.1316647,0.1471675
34,8500,0.1460754,0.1448154,0.1343963
35,8750,0.1257381,0.1414847,0.1446174
36,9000,0.1384778,0.1399991,0.10942035
37,9250,0.1536734,0.10925999,0.1332071
38,9500,0.1705906,0.1584784,0.1923427
39,9750,0.1296418,0.1652345,0.1498069
40,10000,0.1493024,0.1368652,0.142663
41,10250,0.1366898,0.1469895,0.12277947
42,10500,0.11974401,0.10616052,0.1330143
43,10750,0.09397913,0.1422858,0.1311941
44,11000,0.1350239,0.1335696,0.1541257
45,11250,0.10929678,0.12434191,0.1456498
46,11500,0.156618,0.1479163,0.1909522
47,11750,0.1328674,0.130068,0.2024304
48,12000,0.1572412,0.1271966,0.1499877
49,12250,0.1541557,0.11546773,0.1280996
50,12500,0.1527896,0.151028,0.1518353
51,12750,0.1470727,0.1408987,0.1513162
52,13000,0.1726146,0.11538357,0.1344418
53,13250,0.1344799,0.1330198,0.1414109
54,13500,0.1437075,0.1515898,0.1365379
55,13750,0.1440534,0.1454392,0.1368829
56,14000,0.1351291,0.1358488,0.1436442
57,14250,0.186031,0.147198,0.147504
58,14500,0.1636868,0.1397112,0.1685567
59,14750,0.140542,0.1595002,0.1800516
60,15000,0.1592835,0.1508499,0.1943764
61,15250,0.177943,0.1706248,0.1336827
62,15500,0.1441752,0.1753942,0.179334
63,15750,0.1692145,0.1831974,0.1152836
64,16000,0.0967323,0.1781116,0.1487711
